in s,C2 in V
-5.936064E-04,-1.53809E-03
-5.935968E-04,-1.78223E-03
-5.935872E-04,-1.78223E-03
-5.935776E-04,-1.39160E-03
-5.935680E-04,-1.48926E-03
-5.935584E-04,-1.48926E-03
-5.935488E-04,-1.58691E-03
-5.935392E-04,-1.68457E-03
-5.935296E-04,-1.39160E-03
-5.935200E-04,-1.34277E-03
-5.935104E-04,-9.03320E-04
-5.935008E-04,-1.44043E-03
-5.934912E-04,-1.53809E-03
-5.934816E-04,-2.17285E-03
-5.934720E-04,-1.92871E-03
-5.934624E-04,-1.97754E-03
-5.934528E-04,-7.56836E-04
-5.934432E-04,-7.08008E-04
-5.934336E-04,-3.17383E-04
-5.934240E-04,-1.09863E-03
-5.934144E-04,-1.58691E-03
-5.934048E-04,-2.31934E-03
-5.933952E-04,-2.31934E-03
-5.933856E-04,-2.17285E-03
-5.933760E-04,-1.68457E-03
-5.933664E-04,-1.39160E-03
-5.933568E-04,-1.00098E-03
-5.933472E-04,-1.04980E-03
-5.933376E-04,-1.04980E-03
-5.933280E-04,-1.48926E-03
-5.933184E-04,-1.78223E-03
-5.933088E-04,-2.27051E-03
-5.932992E-04,-2.17285E-03
-5.932896E-04,-2.12402E-03
-5.932800E-04,-1.58691E-03
-5.932704E-04,-1.09863E-03
-5.932608E-04,-3.66211E-04
-5.932512E-04,-4.15039E-04
-5.932416E-04,-1.19629E-03
-5.932320E-04,-1.92871E-03
-5.932224E-04,-2.17285E-03
-5.932128E-04,-2.12402E-03
-5.932032E-04,-1.83105E-03
-5.931936E-04,-1.48926E-03
-5.931840E-04,-1.14746E-03
-5.931744E-04,-1.48926E-03
-5.931648E-04,-1.78223E-03
-5.931552E-04,-1.97754E-03
-5.931456E-04,-1.87988E-03
-5.931360E-04,-1.58691E-03
-5.931264E-04,-8.05664E-04
-5.931168E-04,-8.54492E-04
-5.931072E-04,-1.19629E-03
-5.930976E-04,-1.78223E-03
-5.930880E-04,-1.73340E-03
-5.930784E-04,-1.78223E-03
-5.930688E-04,-1.73340E-03
-5.930592E-04,-1.44043E-03
-5.930496E-04,-1.39160E-03
-5.930400E-04,-1.78223E-03
-5.930304E-04,-2.02637E-03
-5.930208E-04,-2.17285E-03
-5.930112E-04,-1.78223E-03
-5.930016E-04,-1.53809E-03
-5.929920E-04,-1.29395E-03
-5.929824E-04,-1.53809E-03
-5.929728E-04,-1.68457E-03
-5.929632E-04,-2.12402E-03
-5.929536E-04,-1.83105E-03
-5.929440E-04,-1.53809E-03
-5.929344E-04,-1.34277E-03
-5.929248E-04,-1.58691E-03
-5.929152E-04,-1.92871E-03
-5.929056E-04,-2.46582E-03
-5.928960E-04,-2.36816E-03
-5.928864E-04,-2.31934E-03
-5.928768E-04,-1.44043E-03
-5.928672E-04,-6.10352E-04
-5.928576E-04,-5.12695E-04
-5.928480E-04,-8.05664E-04
-5.928384E-04,-1.29395E-03
-5.928288E-04,-1.78223E-03
-5.928192E-04,-2.07520E-03
-5.928096E-04,-2.12402E-03
-5.928000E-04,-1.87988E-03
-5.927904E-04,-1.63574E-03
-5.927808E-04,-1.29395E-03
-5.927712E-04,-1.53809E-03
-5.927616E-04,-1.29395E-03
-5.927520E-04,-1.29395E-03
